root_cause_id,bim360_account_id,bim360_project_id,root_cause_category_id,title,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at,is_system
08afdebc-35fb-4cf4-9c3e-521906250108,,,93d1b9cb-deb0-4166-9a48-5f0227feaacb,Human - Human error,t,System,2018-12-06 08:25:18.028,8P9VK3RMFR2M,2021-03-29 15:28:56.049,,,t
1c39ebf0-5680-4b03-af84-ba910ae2d41c,,,a5cc6ec9-7e42-4413-b90d-1e3dcb6ad61c,Communication,t,System,2018-12-06 08:25:17.864,8P9VK3RMFR2M,2021-03-29 15:29:02.729,,,t
1f706638-3a0e-470a-ba7f-06f7f4d23a55,,,a5cc6ec9-7e42-4413-b90d-1e3dcb6ad61c,Natural Disaster,t,System,2018-12-06 08:25:17.864,8P9VK3RMFR2M,2021-03-29 15:29:02.729,,,t
25c079a1-62f7-41f7-8c26-cde83deedfa6,,,a5cc6ec9-7e42-4413-b90d-1e3dcb6ad61c,Installation,t,System,2018-12-06 08:25:17.864,8P9VK3RMFR2M,2021-03-29 15:29:02.729,,,t
2ed65fa9-dfcd-4bc3-876d-922c4d01d59e,,,93d1b9cb-deb0-4166-9a48-5f0227feaacb,Human - Ignorance of procedure,t,System,2018-12-06 08:25:18.028,8P9VK3RMFR2M,2021-03-29 15:28:56.049,,,t
3ede3f70-3a32-408d-a2e3-b24c47e402d7,,,93d1b9cb-deb0-4166-9a48-5f0227feaacb,Management - Lack of procedure,t,System,2018-12-06 08:25:18.028,8P9VK3RMFR2M,2021-03-29 15:28:56.049,,,t
426e7b91-4790-4650-9749-47482463ca44,,,93d1b9cb-deb0-4166-9a48-5f0227feaacb,Human - Fatigue,t,System,2018-12-06 08:25:18.028,8P9VK3RMFR2M,2021-03-29 15:28:56.049,,,t
48e2b269-6d2b-40d1-8a5f-c9607cb10713,,,93d1b9cb-deb0-4166-9a48-5f0227feaacb,Management - Lack of coordination,t,System,2018-12-06 08:25:18.028,8P9VK3RMFR2M,2021-03-29 15:28:56.049,,,t
4ea3583b-4d6c-4295-b3c2-77bb3079b6bb,,,93d1b9cb-deb0-4166-9a48-5f0227feaacb,Human - Failed to identify unsafe condition,t,System,2018-12-06 08:25:18.028,8P9VK3RMFR2M,2021-03-29 15:28:56.049,,,t
5514ea7c-0ea2-41b0-850e-df5bc9e09e50,,,a5cc6ec9-7e42-4413-b90d-1e3dcb6ad61c,Design Change,t,System,2018-12-06 08:25:17.864,8P9VK3RMFR2M,2021-03-29 15:29:02.729,,,t
58c333e8-0835-4c7a-803e-ac5ec292df22,,,93d1b9cb-deb0-4166-9a48-5f0227feaacb,Management - Lack of protective safety equipment,t,System,2018-12-06 08:25:18.028,8P9VK3RMFR2M,2021-03-29 15:28:56.049,,,t
